DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-001213	Um, no, I don't. I don't know much about football. There are many teams in many places and many players with many faces.	Yeah that is true. Do you know how many teams are there?	There are probably 2 or 3 dozen that are good at football. Good enough to be professional.	Yeah I guess they are not allowed to play in the NFL.
DSTC10TOPICAL-001214	Yeah I think I have read about that rule, seems a bit outdated to me.	Yea, there is no way anyone would support that or they would be fighting for their rights	Agreed, did you know that there is NO rule on female players?	I did not know that, I wonder if they have tracking chips in the players
DSTC10TOPICAL-001215	I would imagine that the graphics were very different between the 3 different versions.	Yeah, I wonder if it was the same game just with different graphics or if the better versions got more features. That would've confused the heck outta me, having 3 versions of the same game.	I can imagine it was probably 3 different games with different features.	I think it is a good thing to be a game with the game and the game is a lot of fun.
DSTC10TOPICAL-001216	yes, i dont really know golf and swimming well but they look like interesting activities.	Same here. I've heard that students at Cornell have to pass a basic swimming test before they can graduate.	i wonder where that came from. maybe other colleges require the same sort of things, i dunno.	I think it is a good idea. I think it is a good idea.
DSTC10TOPICAL-001217	yea that rule forbidding cheerleader from the same place as football players is outdated and sexist	I agree. Pretty funny that U of Iowa painted their visitor's locker room pink though	Yea, Iowa must be trying to psych out the visiting team with those pink locker rooms lol	I wonder if they would have been in the pink locker room pink
DSTC10TOPICAL-001218	No I haven't. How much can stars make?	Some make more than 100,000 per weekend!	Wow, pretty cool. Seems like it would be good to break up the routine as well.	I think it is a good way to get a lot of money and I think it is a good way to get a lot of money.
DSTC10TOPICAL-001219	That would be scary. When you turn 100 in Japan, the PM sends you a silver cup to celebrate.	Do a lot of people turn a 100 in Japan?	Apparently they do. They will need to start making cheaper silver cups lol.	I wonder if they have a silver cup in Japan where they are 100 to celebrate.
DSTC10TOPICAL-001220	I like to watch football, yeah, not my favorite sport but its nice	Yeah I watch it from time to time too. DO you like Tom Brady?	He is the QB for the Patriots right? I guess he is a great player, I watched the last Super bowl and he threw an amazing pass	Yeah he was a great player. He was a backup QB in the NFL
DSTC10TOPICAL-001221	it does i only know that the super bowl is in the first week of February.	They only rest one of the 17 weeks of the season.	Yes it's called a bye week. apparently the patriots fans have their own creed called in bill we trust.	I wonder if they are the only team to win the superbowl
DSTC10TOPICAL-001222	I do sometimes. Did you know you can catch Jupiter's storms on am radio	Wow cool. Among the most popular radio acts in the 30s was a ventriloquist	Hmm interesting. Have you ever heard of foxhole radio and what they are?	I have not but I hear they are required to play 40% canadian music
DSTC10TOPICAL-001223	Oh I think I would have too haha. Maybe back when it was painted people cared less about football, like in the 1960s when even bowlers made more money.	Yeah I think that Bowlers made like twice as much as football stars actually, what do you think about ESPN winning an Emmy though? They want it back or creating the yellow line that you see in football for first	Oh I didn't know that! I think that's nice though, they certainly deserve recognition for it. I know Benjarvus Green-Ellis never fumbled the ball, I wonder if he got an award for it too.	Yes I think that is a lot of money. I wonder how much he has won in the top bowlers made twice as much as top football players
DSTC10TOPICAL-001224	That is probably because they want to raise awareness of breast cancer. A lot of football players get breast cancer.	Maybe, I do not know the reason behind it. Bowlers seems made more money in the 60s than the football players	Bowlers probably were the ideal athletes back in the day and got respect for it. They never painted the lanes or the ball pink. Little breast cancer awareness.	Yeah that is true. Do you know who Benjarvus Green-Ellis is?
DSTC10TOPICAL-001225	i loved the movie. did you watch it?	No, but I guess I better watch the DVD. Is it time for woman's equality among the superheroes?	yeah. it was the highest grossing superhero origin movie?	I think it was a superhero movie. I think it was a good movie.
DSTC10TOPICAL-001226	Hello. Do you use Google much? A single Google search is so powerful!	I love Google, it is the #1 search engine, how about you	Yes I love it too. I mention that it was a powerful search engine. A single search requires more computing power than it took to send Neil Armstrong to the moon.	That is crazy, I wonder how much power Google went down for 5 minutes
DSTC10TOPICAL-001227	Oh my gosh, you are a wealth of knowledge. I love it	Bugs sure are interesting, to think they can be found in almost every environment!	I imagine that there is a vast amount of species of insects and bugs. I never would've realized that there are even bugs in the ocean.	I think that is a lot of <unk> I wonder if they are <unk>
DSTC10TOPICAL-001228	I did not know that! I wonder how many have tried out for the NFL.	I don't think any have tried. It would have been big news.	Yeah. I wonder if it will ever happen.	I think it would be a good game.
DSTC10TOPICAL-001229	wow that is interesting. did you watch wonder woman?	I did, and it was a great movie! It's no wonder that it's the highest-grossing superhero movie	yeah and also the highest grossing WWI movie too	I wonder if the movie was based on the movie <unk>
DSTC10TOPICAL-001230	Yeah, kissing is kind of a weird concept though when you think about it. There is a contest where writers try to come up with the worst possible opening sentence to a novel. I wonder what it is.	Hmm, coming up with the worse opening line in a novel actually sounds quite challenging	Yeah, I'm betting some of them are pretty funny.	I wonder if romantic kissing is a recent development of literature
DSTC10TOPICAL-001231	Hi there, do you watch the NFL?	Yes, I like to watch nfl games, do you like the games also?	Yes me too. Did you know the U of Iowa visitor locker room is pink?	I wonder if that is the tactic or the tactic of the tactic or the tactic of the tactic
DSTC10TOPICAL-001232	ahhh, sorry ;) I thought we're talking about a game where players use their feet to kick the ball :)	That'	That's football :)	I think it is a good game.
DSTC10TOPICAL-001233	They really did here we are almost 50 years later and it is still going strong!	That's my childhood! It shocks me to see that the value of the Star Wars franchise is $65 billion!	And that makes it only the 5th highest grossing media franchise. I wonder what beat it?	I think it was the first Star Wars film dubbed in Navajo
DSTC10TOPICAL-001234	They have certainly grown pretty fast. I love YouTube!	i do too! i also like google maps. Do you use that a lot?	For almost each trip I make when I don't know where it is, especially on out of town trips	I love the <unk> I love the <unk>
DSTC10TOPICAL-001235	well they stuck to it it seems. Did you know U of Iowa painted the visitor locker room pink?	I think that has something to do with the breast cancer awareness movement or something.	I am not sure actually. I hope that is the reason. Did you know bowlers made more money than football players in the 60s?	I think it was a popular sport in the 1960s but it was a popular sport in the 1960s but it was more popular than the 60s
DSTC10TOPICAL-001236	Did you know that New Orleans Saints cheerleaders cannot eat in the same restaurant as a Saints player? They have to leave the place if the player comes in.	I recently seen this somewhere, and thought was outrageous.	I think it is outrageous too because what if the cheerleader is with her family? Does that mean the cheerleader has to immediately stop eating and leave?	I think it is sexist and sexist to be a cheerleader to leave the restaurant if a player walks in.
DSTC10TOPICAL-001237	I didn't, but that makes sense. I think they got an Emmy for it! Aren't the Emmy's for TV shows? That's so weird.	To them it is still a show I guess. In 1916 georgia tech won 222 to zero	What?! That's crazy. And since an average game is only 11 minutes in actual live gameplay, that's especially insane!	I know. I wonder how much they make in the game
DSTC10TOPICAL-001238	No, especially high school football. I find really boring. You?	Yeah I follow the NFL just a bit, but only my local team I would say.	I have to agree with the parents who don't want their children to play because of health concerns	I agree with you. I think the NFL is a good thing to do.
DSTC10TOPICAL-001239	Women can play football? What does ESPN think of this? I suppose it doesn't effect their yellow line.	The game is really not that long, the average game is only 11 minutes of live gameplay	11 minutes is not that long a game, even for anyone to play!	I think it is a lot of money for the game.
DSTC10TOPICAL-001240	I agree. Do you know where the button down is?	Yes that is the collar tips fasten to the body of the shirt. ANd button down?	Button down is when they do not fasten to the shirt	Yeah I wonder how they do that. Do you know why the button button is called a shirt?
DSTC10TOPICAL-001241	Yeah. DO you like the NFL?	I love it. Did you know women can play in the NFL too?	Yes as there is no rule that prevents them from playing	Yeah. Did you know the average game only has 11 minutes of gameplay
DSTC10TOPICAL-001242	Hi, I watch occasionally. Most big games like Super Bowl.	I didn't watch the Super Bowl this year. The Patriots won again, right?	Yes they did. The coach Belichick is the winningest coach in NFL postseason football with 21 wins. 20 of those with the Pats.	I think that is a good thing to do. I think the Patriots are the best coach in the NFL
DSTC10TOPICAL-001243	Brady has to come crashing down eventually, with Belichick.	Yeah I would say that run is about over. It was a good one though. They dominated for a long time.	They were fun to watch before they were always expected to win	Yeah I think they are the best team in the NFL and they are still playing with the Patriots.
DSTC10TOPICAL-001244	That shows how quickly things can change. Most pro football players don't have long careers. I wonder how much they make compared to other professions over their lifetime.	Well, I also read that average lifetime earnings of an engineer is higher than the average lifetime earnings of an average NFL player.	That's pretty interesting. Do you read the bible much or are you not religious?	I do not know much about it. I know that the bible is the only one to have a bible in the bible
DSTC10TOPICAL-001245	Yea I am more of a dog person. Haha yeah I would agree with you. All they do is sleep. At the age of 15 , a cat will have spent 10 of those years sleeping. So boring! !	How do cats always have good things happen to them though? I mean the stray cat found on set that was then in the Godfather is probably living the good life.	Yes I bet he is. Must be that whole 9 lives business. They can just relive until they get good fortune. Also quite surprising there are 70 cat breeds, seems like a lot to me.	I think they are a lot of people in the world. I think they are a cat company. Cats are a cat company.
DSTC10TOPICAL-001246	From personal experience, I can confirm that football is religion in the south.	You having southern experience, did you know the New Orleans cheerleaders are forbidden from eating at a restaurant that a player is in? That's crazy, almost as crazy as the Rams robbing the Saints from being in the Super Bowl.	Yes, and if the cheerleaders are eating and the players come in the restaurant, the cheerleaders have to leave.	I wonder if they have a rule that they have to be in the restaurant if they are allowed to leave the restaurant if they are in the restaurant, if they are allowed to eat in the same restaurant as
DSTC10TOPICAL-001247	Well, that is awesome, I guess he did get what he wanted.	I guess? They say Shakespeare's works take on a different meaning when performed with an era appropriate accent instead of a modern one. I think I'd like to watch and listen to one.	I would too. I wonder if he could play piano?	I don't know. I would have to be able to play the piano.
DSTC10TOPICAL-001248	Yeah I know but they got it after all. Do you know who Benjarvus Green-Ellis is?	Never heard of him. Is he famous? What does he do?	yeah he is a former QB who never fumbled the ball in his career	That is a good player. I wonder if he was a coach at U of Iowa and the coach was the coach of the team.
DSTC10TOPICAL-001249	Oh wow, I guess they had a lot of money back then. did you know the guest house is larger than the white house?	haha I didn't know that seems odd, also odd is the president of Zimbabwe's name is President Banana haha	yeah I wonder if that means something else in their language though	ya I wonder if that is the real name or maybe the president of Indonesia has released 3 pop albums while in office
DSTC10TOPICAL-001250	Oh interesting. House is awesome because of Hugh Laurie. Makes sense he makes 700,000 per episode.	that was so much money per episode. He made the show awesome for sure!	Yes no doubt about that. He is the highest paid actor for any tv drama!	I think he is a great actor. I think he is a great actor and he is a great actor.
DSTC10TOPICAL-001251	I might look it up and tune in after this chat haha. How do you feel the president of the united states is doing?	I am surprised that he is not in the top 3 wealthiest presidents.	After inflation, I am surprised as well. He comes from a business background, so I was expecting him to be able to make much better decisions. It just goes to show you that politics are a much different beast than	I agree. I think the president of Indonesia is a pop star too.
DSTC10TOPICAL-001252	Yeah pretty neat. THe game only has 11 minutes of active play after all	Yeah that is short and we are glued to the tv for so long watching the game	Exactly. Did you know engineers make more than them over their lifetime?	Yes they are not allowed to play in the same place as the players
DSTC10TOPICAL-001253	I have not. cold stars? i thought stars were hot.	I did too. But apparently there are stars in the known universe that are cold enough to be touched by the human hand.	i guess that could be interesting. i would rather mars. or the moon.	I agree. I think it is a big center of the universe.
DSTC10TOPICAL-001254	I don't think I've seen any of those.	ok cool.	Have you watched any of them?	I have seen the movie <unk>
DSTC10TOPICAL-001255	I don't know what year it was, just that they were the first team to win back to back World Series and they haven't won since.	The World Series is popular in the US, but not around the world. In fact, the women's world cup gets a bigger TV audience. Maybe if they allowed women in the MLB, things would change.	Yes, who knows!	I think the world series was a great idea to win the world series and the world series was the first team to win back-to-back world series and then won the world series.
DSTC10TOPICAL-001256	I liked to play with my dad when I was younger, but don't keep much up with it now. I like football and other sports more. How about you?	I played more when I was younger and had more free time. I'm a bigger football fan. Did you know that the University of Iowa had their visitors locker room painted pink? Must have been to mess with opponents minds.	Yeah, but seems a little sexist, frankly. It's a pretty sexist industry of a whole, despite technically allowing women to play.	I agree. I think it's funny that the highest score ever in a football game occurred in 1916 when georgia tech defeated cumberland 222-0.
DSTC10TOPICAL-001257	Hi, how are you?	I'm doing good, how about yourself?	I am well, thanks! Do you watch the olympics?	I do like to watch the Olympics. I do like to watch the Olympics. I do like to watch the Olympics.
DSTC10TOPICAL-001258	At my age, I prefer to play baseball, but prefer to watch football. You?	I don't play either anymore haha although I'm not that old. I like to watch football a little bit more but they run during different seasons so I can watch both.	You know, back in the 1960s, bowlers would make more money than football players. Now that is a sport I cannot understand why people would watch rather than play.	I think it is a sport that makes more money than football, basketball, baseball, golf, tennis, and hockey combined.
DSTC10TOPICAL-001259	Hello, do you like the movie Batman?	I sure do. Do you know what is was originally based on?	I do not know what , what? There were also plans to build a gotham city theme park	Yeah that is pretty cool. Do you know who the first president of Zimbabwe was called?
DSTC10TOPICAL-001260	Hello, do you like Walt Disney?	I like Disney! How about you!	I do as well. Did you know Minnie Mouse's name is short for Minerva Mouse?	I did not know that. I wonder if they have a special <unk>
DSTC10TOPICAL-001261	I sure do. How about yourself?	Me too. Did you know women can play in the NFL too?	Did not know there, are there limitations though?	I am not sure but there is no rule against them
DSTC10TOPICAL-001262	I have never heard of that and I don't think I'll want to visit any time soon. I do want to watch a live football game some time though, have you ever been to one?	ya it was a long time ago, I personally only like games on tv, much cheaper and easier to see, I'm glad espn invented the yellow first down line on tv haha	Yeah and they even won an emmy or some type of award for it, I wonder what category that invention for that award falls under.	ya I think so, I think it was a great game and I think it was a great game
DSTC10TOPICAL-001263	Yeah I guess. Good for them for playing till the end. ESPN won an award once, an Emmy, do you know what for? It is related to football?	I heard about this, they won the emmy for creating the virtual yellow line on the field, right? !	Yeah that was it. Apparently bowlers made more money than football players back in the 60s	That is crazy, I wonder how much football players have to do with the highest scoring football game ever?
DSTC10TOPICAL-001264	I am really not that into football but I do follow it some. I heard something funny one time. That the university of iowa's visiting locker room is painted completely pink	Yeah I wonder what the reasoning behind that was. Did you know women can play too?	Wow I didn't know that. I saw that an average nfl game has only 11 minutes of actual play time	Yeah that is a lot of money. Did you know the highest score ever in a football game was 222-0
DSTC10TOPICAL-001265	We always watch the Superbowl, will have a couple people over but nothing big. I am rooting for the Patriots though!	haha me too, do you like Michael Caine? I guess he only got into acting to chase cute girls haha	Haha, that's funny! He made the right choice to get into drama! I like Jim Carrey in Drama films but he won't do drama anymore. Love his comedy too though.	ya I agree, I think he is a great actor, I think he is a great actor, he is a great actor, he is a great actor, he is a great actor
DSTC10TOPICAL-001266	Cool. Brady was a backup QB in high school and was never started	wow they wasted a good chance to win some games there	Yeah. Do you know Alex Smith completed college in two years?	Yes he was a QB in college and finished college in two years
DSTC10TOPICAL-001267	Maybe he can sell it for a profit later on, and use his celebrity status to up the price. Are you a fan of the Star Wars films?	yeah that is possible. that will still not be enough to lift the ban that the city of paris put on him	Paris banned Tom Cruise? Why?	he is a star wars star wars
DSTC10TOPICAL-001268	Somewhat, I know he's a rapper and was in Degrassi	Nice. He graduated high school at the age of 25 in 2012. He must have quit and went back?	I guess so, most people graduate college before 25, not high school like Drake	I guess he was a good <unk> He was a high school student in high school and he was a student of high school and ended up being a teen after he graduated high school
DSTC10TOPICAL-001269	Yeah, all the miracles and resurrection. Up until 1963 the Bible was a required read in elementary education	Not surprising. I'm glad they took that out though. I don't think religion should be forced on kids.	Me too, it is a choice. The Biblical tower of Babel seem to be based on a real building that exists today	I wonder if it was the bible or the bible or the bible in the bible
DSTC10TOPICAL-001270	I see. do you know that the highest score ever in a football game occurred in 1916, and the score was 222-0	Yes, I had heard that before! I wonder how much money football players made in that time. I heard that in the 1960s it was only half as much as popular bowlers of the time.	Yeah, that fact surprised me a lot.	I think it is a sport that has a lot of money and the players are not as popular.
DSTC10TOPICAL-001271	What do you think about the dodo bird? I'm kind of sad that it is extinct but at least it is related to pigeons	I would love to of seen a real dodo, they look much cooler than pigeons	Yep I agree. It's crazy to me that bird bones are actually Hollow and weigh less than their feathers	Yea, birds are pretty cool, I wonder if they can mimic the sound of cameras, car alarms, and chainsaws.
DSTC10TOPICAL-001272	Yes, and that James Cameron decided to quit his truck driving job to enter the film industry after watching Star Wars?	Talk about a good career move that would pay off down the road! Marcia Lucas was the reason for some major changes to the original movie and won an academy award for editing the film.	Another fun fact that I learned is that there's a toy Hans Solo in every Firefly episode. I loved Firefly too!	I didn't know that. I did know that the first film to be dubbed in Zulu for its African release.
DSTC10TOPICAL-001273	Yeah, that is pretty crazy. Did you know an iphone has more computing power than the entire US Nuclear ICBM deterrent.	Isn't that crazy? I didn't know that. Unicef will donate a day of clean water to a child in need for every minute you don't use your cell phone. Sign me up. lol	Interesting. Did you know that Jupiter has radio storms that can be heard on AM radio here?	I did not know that. I wonder if they can pick up Jupiter's storms on AM radio?
DSTC10TOPICAL-001274	That's a ton of animals! There is a lawyer in Switzerland who represents animals in court.	Power to the animals! Germany also protects them as they were the first country to universally give animals constitutional rights!	That's hilarious! There's a jellyfish that can live forever.	I think that is a holdover from evolution when animals had gills and lungs.
DSTC10TOPICAL-001275	Wow he must have really liked comedy then and I guess he did pretty well so no regrets there	Exactly. Have you heard of bromantic comedies?	Hmm I am not sure what those are, are they a special kind of comedy?	Yes they are supposed to be called bromantic comedies
DSTC10TOPICAL-001276	Wow that is amazing. Do you know who Brian May is?	Yes the lead guitarist of the Queen who is also a genius scientist	He sure is, with a degree in astrophysics and a PhD at that, that is impressive	Yeah that is impressive. Do you know who Brian May is?
DSTC10TOPICAL-001277	Hello. Are you a fan of jazz?	I like to listen to it live	Neat! Jazz originated in New Orleans.	Clint Eastwood is a lifelong jazz enthusiast, pianist, and scored several films, including Million Dollar Baby.
DSTC10TOPICAL-001278	Yeah seems like a really long time, 17 weeks, do you have a favorite team? mine is in the AFC division or American Football Conference	Nice I do not have a favorite team I just watch the games. DO you know who Benjarvus Green-Ellis is?	He used to play for the Patriots right? yeah I know who he is, why do you ask?	He is the rb who never fumbled the ball in his career
DSTC10TOPICAL-001279	I find it unlikely. What is his new book about?	its basically his strategy for how he became successful, I think its worth a read, can't believe hes 40 and is tied for the superbowl record	That is pretty amazing. Are you a fan of football?	I do like football, I like the Patriots and the Patriots
DSTC10TOPICAL-001280	Im not sure, but in 2005 they could have bought Facebook. I think they would be more relevant if they had taken them up on the offer.	Oh, for sure.	Now almost everyone I know who is 13 years older (and a few who lie about it) are on Facebook.	I think it is a good thing to do.
DSTC10TOPICAL-001281	I am, I like college and NFL. What about you?	I am. Did you know the highest score was 222-0?	Yeah, didn't Georgia Tech beat Cumberland that bad?	I think Cumberland was the highest score ever in a football game
DSTC10TOPICAL-001282	Cheerleaders seem to distract players. It's best to avoid it	Don't you see this as a little sexist a rule that only the cheerleaders have to abide for ?	I think it's best not to have players distracted.	I think they are the only one to have a female player in the NFL
DSTC10TOPICAL-001283	Well, I think it is radio storms that are so strong that they can be picked up and heard on the AM radio.	Interesting, have you heard them?	No, I've never heard anything like that. I did hear, though, that there's a website where you can listen to thousands of episodes of classic radio dramas for free although I never had the pleasure of doing so.	Interesting, I wonder if they have a website where you can listen to thousands of episodes of classic radio dramas for free.
DSTC10TOPICAL-001284	I don't know, I probably would check it out, for the sake of the game. Not sure I would enjoy as much. I think its too rough for women. But should be allowed to play.	Yeah I don't know how that would go, but they should be allowed if they are good enough, I'm an engineer and I guess I make more in my lifetime than an average NFL player makes, cool!	lol, really. Oh yeah, the average lifetime earning is higher than the average NFL player!	Yeah I think that is a lot of money, I think they are a lot of money and they are so much money and they are so much money in the game.
DSTC10TOPICAL-001285	Yeah he was pretty amazing. Apparently bowlers made more than football players back in the 60s	They did? well football want a popular sport back then, at least not as popular as it is now so it does make sense, I dont see a bowler making more money than a pro football player now	Yeah things have really changed now. On another topic, do you know much about the Bible?	I do know the Bible is the richest in the history of the century, I think that is a lot of money
DSTC10TOPICAL-001286	I love watching football too. Did you know the NFL has no written rule against females playing?	I always wondered that! why arent there any players you think?	I'm not too sure on that one. The average NFL game only has 11 minutes of live gameplay.	I think that is a lot of money, I think they are a lot of money and then they are so much money
DSTC10TOPICAL-001287	Oh I definitely didn't watch that! Everyone knows Babe Ruth though and he was once America's most popular golfer!	Wow. Didn't know that. Antarctica has a disc golf course	Oh that would be a cold course! A golf course in Dubai requires 4 million gallons of water!	That is a lot of water for a golf course in Dubai that requires 4,000,000 gallons of water a day.
DSTC10TOPICAL-001288	I listen to FM usually and yes, mystery can do some amazing things	I know. IN the AM radio you can get Jupiter's storms	WOw nice. The most popular act on the radio in the 30s was the ventriloquist	Wow cool. Do you know how soldiers made foxhole radios during WWII?
DSTC10TOPICAL-001289	He has a nobel prize in literature.	Oh that is interesting since those are usually considered to be associated with peace.	yeah. I hear if you publish a book in Norway the government buys 1000 to donate to libraries.	That is a good idea. I wonder if they have a library of <unk>
DSTC10TOPICAL-001290	Yeah for the superimposed yellow line, pretty cool	It is for sure. Do you know much about the Bible?	Not a ton but I know that it has sold over 5 billion copies Wow	Yeah that is a lot of money. Do you know who the wealthiest presidents in the history are?
DSTC10TOPICAL-001291	Do you like watching football?	I love watching it! How about you?	I love it also! Do you have a favorite college and NFL team?	I like the Patriots and the Patriots and the Patriots are the best team in the world
DSTC10TOPICAL-001292	I am sure it would be, would likely throw everyone off. I wonder how many there have been in history.	I am not sure. I know there was one famous deaf quarterback - the huddle was invented for him so the other teams could not read his signs	It is truly amazing what people come up with that they intend to just help them that turn out to be iconic.	I agree. I think that is a good way to get a degree in the NFL.
DSTC10TOPICAL-001293	I do. I am getting ready to watch the playoff games	for sure, who you rooting for? Saints?	Absolutely and the Patriots.	I am a fan of the Patriots and the Patriots are the best team in the history of the NFL
DSTC10TOPICAL-001294	Yes! Why on earth would that be a rule? Do you think its a superstition thing? Makes no sense.	It certainly does not. The worst part about it is that they have to leave mid meal if a player walks in. Weird	Yeah, that is odd to say the least. So, the NFL uses tracking chips on the players during the game?	I think they are the only one to have a <unk>
DSTC10TOPICAL-001295	Him among some others like green ellis	Benjarvus is a legend, the guy never fumbled the ball in his career	Indeed	He was a great player and he was a backup QB in high school
DSTC10TOPICAL-001296	I wonder if he likes jazz?	He might, jazz is a genre that has influence a lot of people so who knows, theres even a programming language that is influenced by jazz	It is seen as america's classical music. I love jazz.	I like jazz, I like the instrument that has a unique instrument
DSTC10TOPICAL-001297	I do not know about the rules but it would be fair that they play too I guess. Did you hear about tracking chips on the players now?	I have heard. They are made probably by engineers that will make more money than the players who wear them will	Yeah, I would not be surprised. They track everything though from velocity to location and everything in between	I agree. Did you know that the average lifetime earnings of an engineer is higher than the average lifetime earnings of an NFL player?
DSTC10TOPICAL-001298	He was in the league a long time. At least he gave the game everything he had	I didnt' think he was all that of a QB but his teammates really took to him right away	He was a true professional.	He was a great player and he was a great player and he was a great player
DSTC10TOPICAL-001299	I'm not surprised. A lot of commercial. Just a lot. It's really annoying.	You are right about that. But I suppose women would be better off financially by entering the engineering field since engineers make more than the average lifetime earnings of both MLB and NFL players. Which is surprising to me!	I'm sure a lot of money go to TV, owners of teams, etc. Just not fair for players! Did you know that the highest score in a football game was 222-0. Can you believe?	I think that was a humiliating defeat, I would have thought that would be a <unk>
DSTC10TOPICAL-001300	Nice. The guy who played Jarvis in Iron Man has never seen the films	Cool. DO you know who is the waitress that Captain America saves in the Avengers movie?	I have no idea, is it someone we have seen elsewhere too?	It is the character that appeared in the avengers movie
DSTC10TOPICAL-001301	So Thomas jefferson did not believe in miracles and the resurrection.	A lot of people don't. Maybe Brady should be given a copy of his bible.	Yes because the bible is the best selling book ever.	I wonder if he was a <unk>
DSTC10TOPICAL-001302	Well in 1972 Deep Purple broke the world record for loudest concert ever. Apparently some of the audience was rendered unconscious.	I can't even imagine how scary that must have been!	I wonder if it is due to the fact that they blew their ears out?	I don't know. I wonder if they were the same band that they recorded in the ancient roman amphitheater in Pompeii with no audience.
DSTC10TOPICAL-001303	I'm doing well! Are you a fan of football?	Yes I love football. Do you have sirius radio?	I did for a little bit but not anymore? Do you?	I do not but I am a fan of the <unk> I am not a fan of the <unk>
DSTC10TOPICAL-001304	I love it. DO you know what color is the U of Iowa visitor locker room?	Yes it is pink but I wonder why that is	Me too. Bowlers made more than football players in the 60s	Yes and it is a lot of money now
DSTC10TOPICAL-001305	Cool. They definitely have done so many things that I hadn't realized either. I didn't realize they had tried several small niche businesses as well.	It is only the third most profitable company in Japan too. I wonder what the first two are.	Wow! I'd like to know as well considering Nintendo has such a large cash reserve that it could lose so much money and not bankrupt for a long while.	I think they are a lot of money and they are still selling them.
DSTC10TOPICAL-001306	The guy is the man. Can you guess his favorite ice cream kind?	I think it is avocado is it not? I mean it makes sense	It sure does , the guy is very health conscious and watches what he eats	Yeah I guess he is a good player and he is a good player
DSTC10TOPICAL-001307	that is a good point, lol. Did you hear about the tracking chips they use in shoulder pads?	Something along those lines, it tracks there speed or something?	Yea it tracks all their movement and other data. pretty interesting! They must have been created by engineers making the big bucks	I wonder how they track track of the data and data data data data data data data data across the world.
DSTC10TOPICAL-001308	Do you like football?	I like the NFL, but I think 16 games is not enough to build rivalries.	Yes, i completely agree! What do you think would be a good number of games for an NFL team to play in a season?	I think they are a good team and they are a good team and they are a good team and they are a good team
DSTC10TOPICAL-001309	I see, well I don't know much about soccer but I am interested in odd facts about sports. Did you know there is a college football team that has painted their visiting teams locker pink?	I would guess that has something to do with breast cancer awareness. I know that many football players suffer from breast cancer in the later years.	I never thought of it that way, that's an interesting perspective. Tell me why you like soccer.	I think it is a sport that is a sport in the world. I think it is a sport that is a sport in the world.
DSTC10TOPICAL-001310	I mean a man used the library to prove his innocence and become a lawyer while falsely imprisoned	How great is that! So important. The library of Alexandria had a unique way of gathering books by making all ships visiting surrender their books for copy .	They must have had a impressive collection	I think that is a great idea. I wonder if the library of Alexandria has a copy of the internet in case the internet burns down.
DSTC10TOPICAL-001311	I know that the russians built a computer powered by water back in 1930s.	I wonder how that worked? They must have used the water to generate a power source. I didn't even know they had computers back then. lol	There were mechanical computers before that. computers are an old idea. someone built one in minecraft even!	I didn't know that. I wonder if they have a computer that runs on water for the <unk>
DSTC10TOPICAL-001312	Hello! Did you know professional ballet dancers can go through 4 pairs of shoes in a week?	That is a lot of shoes and money too. There are 17 ways to tie your shoes too	And I only know one way! 5000 year old shoes perform better than modern shoes. Go figure.	I wonder how they do that. 5000 year old shoes perform better than modern shoes.
DSTC10TOPICAL-001313	I love superhero movies. I loved the batman trilogy. How about you?	I do! I watch them with my kids, they are in love with Batman haha	That is great! I like superman too, especially in films, did you like the new justice league movie?	I did not know that, I think it was a great movie. I think it was a great superhero and I think it was a great movie.
DSTC10TOPICAL-001314	I know that it has sold over 5 billion copies. Amazing record there	Yes and that is exactly why it is known as one of the most influential books in the world	Yup. Did you know Jefferson created his own version of the Bible?	Yes he was the etemenanki in Iraq
DSTC10TOPICAL-001315	I agree. Bowlers probably don't make a whole lot these days.	No not these days, but I still think it would be pretty sweet to make a living throwing those balls around, lots of women too lol.	That would be pretty awesome. Gotta love the attention too. lol	Yeah I think it is a great sport to be honest.
DSTC10TOPICAL-001316	Yeah exactly. Have you ever been to that football stadium in Texas that can seat 18 000 people?	No I never been to Texas yet but that's pretty crazy	Yeah it is right? And it cost $60 million and on top of all , it is just a high school stadium	Wow that is a lot of money. Do you know who the highest paid state employee is
DSTC10TOPICAL-001317	I read an article about it. I cannot imagine a football game without the yellow line.	yeah that definitely helps. I saw that former patriots RB Benjarvus Green-Ellis has never fumbled the football in his nfl career	Yes, isn't that amazing? I do not know any other football players who have never fumbled the football.	I think it was a football game and it was a great invention. I wonder how much football players have to play
DSTC10TOPICAL-001318	Wow that's impressive! Also impressive is the one Patriots player who has never dropped the ball, I think his name is BenJarvus Green-Ellis	That's amazing. Also amazing is QB Brad Johnson who threw a TD to himself in a Superbowl.	Yes I want to watch that score! It sounds incredible what do you think about a deaf quarterback creating the circular huddle?	I think it was Paul Hubbard who was deaf and didn't want to be a deaf quarterback.
DSTC10TOPICAL-001319	Not everyone does though. Burger King had a promotions that you got a free whopper if you unfriend 10 people. I wonder what inspired that.	I think that Burger King was just looking for media attention which they got.	I imagine that Myspace regrets turning down and offer to buy Facebook for $75 million.	I bet they were regretting that decision to make it a <unk>
